cluster_key,language,this_report_claude,chatgpt_v2,chatgpt_v3,google,grok,consensus_class,verification_burden,action,xl_ref,notes
kotlin+buildconfig+aws-credentials,kotlin,added_via_google,?,?,YES,?,majority,medium,ship_P0,XL-006,added from Google comparison run
kotlin+okhttp+trust-all-cert,kotlin,YES,?,YES,?,?,majority,medium,P1,XL-004,
kotlin+globalscope-launch,kotlin,YES,?,YES,?,?,majority,medium,P1,,
kotlin+cleartext-traffic-permitted,kotlin,YES,?,YES,?,?,majority,low,ship_P0,XL-004,
swift+userdefaults+credentials,swift,YES,YES,YES,?,?,majority,low,ship_P0,XL-006,
swift+ats+arbitrary-loads,swift,YES,YES,YES,?,?,majority,low,ship_P0,XL-010,
swift+urlsession+trust-bypass,swift,YES,YES,YES,?,?,majority,low,ship_P0,XL-004,
swift+wkwebview+remote-eval,swift,YES,?,YES,?,?,majority,medium,P1,,
swift+package-swift+range-dep,swift,YES,YES,?,?,?,majority,low,P1,XL-007,
csharp+binaryformatter+untrusted,csharp,YES,YES,YES,?,?,majority,low,ship_P0,XL-001,
csharp+newtonsoft+typenamehandling,csharp,YES,YES,YES,?,?,majority,low,ship_P0,XL-001,
csharp+fromsqlraw+interpolation,csharp,YES,YES,YES,?,?,majority,low,ship_P0,XL-002,
csharp+process-start+tainted,csharp,YES,YES,YES,?,?,majority,low,ship_P0,XL-003,
csharp+wpf+xamlreader-load,csharp,added_via_google,?,?,YES,?,majority,medium,P1,,added from Google comparison run
csharp+aspnet+developer-exception-prod,csharp,YES,?,YES,?,?,majority,low,P1,,
csharp+nuget+floating-version,csharp,YES,YES,YES,?,?,majority,low,P1,XL-007,
c+strcpy-strcat-sprintf,c,YES,YES,YES,?,?,majority,low,ship_P0,,
c+system+tainted-string,c,YES,YES,YES,?,?,majority,low,ship_P0,XL-003,
c+rand+token-generation,c,YES,YES,YES,?,?,majority,low,P1,,
c+missing-fortify-source,c,YES,?,YES,?,?,majority,low,P1,,
c+llm+system-prompt-buffer-overread,c,added_via_google,?,?,YES,?,majority,medium,P1,XL-012,added from Google comparison run
cpp+raw-pointer-arithmetic,cpp,YES,YES,YES,?,?,majority,low,ship_P0,,
cpp+std-system+tainted,cpp,YES,YES,YES,?,?,majority,low,ship_P0,XL-003,
cpp+rand+token-generation,cpp,YES,YES,?,?,?,majority,low,P1,,
cpp+missing-aslr-relro-pie,cpp,YES,?,YES,?,?,majority,low,P1,,
cpp+qstring+sql-built-from-interpolation,cpp,YES,?,?,?,?,outlier,medium,P1,XL-002,
ruby+marshal-load+untrusted,ruby,YES,YES,YES,?,?,majority,low,ship_P0,XL-001,
ruby+rails+mass-assignment,ruby,added_via_google,YES,YES,YES,?,majority,low,ship_P0,XL-009,added from Google comparison run
ruby+activerecord+where-interpolation,ruby,YES,YES,YES,?,?,majority,low,ship_P0,XL-002,
ruby+backticks-system+tainted,ruby,YES,YES,YES,?,?,majority,low,ship_P0,XL-003,
ruby+gemfile+git-branch-no-ref,ruby,YES,YES,YES,?,?,majority,low,P1,XL-007,
php+unserialize+untrusted,php,YES,YES,YES,?,?,majority,low,ship_P0,XL-001,
php+pdo+concat-query,php,YES,YES,YES,?,?,majority,low,ship_P0,XL-002,
php+include+user-controlled-path,php,YES,YES,YES,?,?,majority,low,ship_P0,,
php+shell-exec+tainted,php,YES,YES,YES,?,?,majority,low,ship_P0,XL-003,
php+display-errors-on-in-prod,php,YES,?,YES,?,?,majority,low,P1,,
php+composer+loose-range-no-lock,php,YES,YES,YES,?,?,majority,low,P1,XL-007,
scala+java-objectinputstream-via-scala,scala,YES,YES,YES,?,?,majority,medium,P1,XL-001,
scala+slick+string-fragment-interpolation,scala,YES,YES,YES,?,?,majority,medium,P1,XL-002,
scala+await-result-in-controller,scala,YES,?,YES,?,?,outlier,high,verify,,
scala+sbt+snapshot-or-latest,scala,YES,YES,YES,?,?,majority,medium,P1,XL-007,
elixir+binary-to-term+untrusted,elixir,YES,YES,YES,?,?,majority,low,ship_P0,XL-001,
elixir+string-to-atom+user-input,elixir,YES,YES,YES,?,?,outlier,high,verify,,
elixir+ecto+fragment-interpolation,elixir,YES,?,YES,?,?,majority,medium,P1,XL-002,
elixir+phoenix-raw-html,elixir,YES,?,YES,?,?,majority,medium,P1,,
elixir+liveview+prompt-injection,elixir,added_via_google,?,?,YES,?,majority,high,P2,XL-011,added from Google comparison run
dart+shared-prefs+token-storage,dart,YES,YES,YES,?,?,majority,low,ship_P0,XL-006,
dart+bad-certificate-callback-true,dart,YES,YES,YES,?,?,majority,low,ship_P0,XL-004,
dart+debug-mode-assertions-in-prod,dart,added_via_google,?,?,YES,?,majority,medium,P1,,added from Google comparison run
dart+sqlite-raw-query-interpolation,dart,YES,?,YES,?,?,majority,medium,P1,XL-002,
dart+pubspec+wide-range-no-lock,dart,YES,YES,YES,?,?,majority,low,P1,XL-007,
all+hardcoded-secret-regex-family,cross-language,YES,YES,YES,YES,YES,consensus,low,ship_P0,XL-006,XL-006 covers
all+typosquat-slopsquat-detection,cross-language,YES,YES,YES,?,?,majority,medium,ship_P0,,
all+ci-cd+pull-request-target-checkout,cross-language,YES,YES,YES,YES,?,consensus,low,ship_P0,,
all+ci-cd+action-pinned-by-tag-not-sha,cross-language,YES,YES,YES,?,?,majority,low,ship_P0,,
all+ci-cd+manual-installs-without-lockfile,cross-language,YES,?,YES,?,?,majority,medium,P1,XL-007,
all+manifest+install-hook-network,cross-language,YES,YES,YES,?,?,majority,medium,ship_P0,XL-008,
all+ioc+exact-name-version-match,cross-language,YES,?,?,?,?,outlier,low,ship_P0,,baseline 2026 IOC list from preflight_v05_iocs.json
